
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02  , DropPeriod = 8 , DropFactor = 0.500000 
>> Hidden Units = 60 , v1 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >>  1 looptimes , 1 training times , load amp = 0.640580 , bias = 7.700000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 1.300000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 5.300000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 3.700000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 3.300000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 9.000000e-02 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 6.500000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 7.300000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 6.100000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.640580 , bias = 8.500000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 5.000000e-02 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 1.700000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.100000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.500000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 2.900000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.100000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.500000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 4.900000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 5.700000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 6.900000e-01 , 
 load begin = 1 , load end = 30 
 1 looptimes , 1 training times , load amp = 0.800300 , bias = 8.100000e-01 , 
 load begin = 1 , load end = 30 
Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:01 |         1.55 |         0.79 |       1.1939 |       0.3137 |          0.0100 |
|       1 |          50 |       00:00:03 |         0.17 |              |       0.0141 |              |          0.0100 |
|       1 |         100 |       00:00:04 |         0.12 |              |       0.0072 |              |          0.0100 |
|       1 |         106 |       00:00:05 |         0.15 |         0.10 |       0.0108 |       0.0050 |          0.0100 |
|       1 |         150 |       00:00:06 |         0.12 |              |       0.0075 |              |          0.0100 |
|       1 |         200 |       00:00:07 |         0.12 |              |       0.0069 |              |          0.0100 |
|       1 |         212 |       00:00:07 |         0.14 |         0.09 |       0.0096 |       0.0036 |          0.0100 |
|       1 |         250 |       00:00:08 |         0.12 |              |       0.0070 |              |          0.0100 |
|       1 |         300 |       00:00:10 |         0.11 |              |       0.0066 |              |          0.0100 |
|       1 |         318 |       00:00:10 |         0.11 |         0.07 |       0.0058 |       0.0021 |          0.0100 |
|       1 |         350 |       00:00:11 |         0.09 |              |       0.0042 |              |          0.0100 |
|       1 |         400 |       00:00:12 |         0.11 |              |       0.0056 |              |          0.0100 |
|       1 |         424 |       00:00:13 |         0.09 |         0.08 |       0.0040 |       0.0036 |          0.0100 |
|       2 |         450 |       00:00:14 |         0.11 |              |       0.0061 |              |          0.0100 |
|       2 |         500 |       00:00:15 |         0.14 |              |       0.0098 |              |          0.0100 |
|       2 |         530 |       00:00:16 |         0.13 |         0.07 |       0.0082 |       0.0024 |          0.0100 |
|       2 |         550 |       00:00:16 |         0.13 |              |       0.0081 |              |          0.0100 |
|       2 |         600 |       00:00:18 |         0.11 |              |       0.0059 |              |          0.0100 |
|       2 |         636 |       00:00:19 |         0.10 |         0.06 |       0.0054 |       0.0018 |          0.0100 |
|       2 |         650 |       00:00:19 |         0.09 |              |       0.0041 |              |          0.0100 |
|       2 |         700 |       00:00:20 |         0.11 |              |       0.0058 |              |          0.0100 |
|       2 |         742 |       00:00:21 |         0.09 |         0.06 |       0.0045 |       0.0018 |          0.0100 |
|       2 |         750 |       00:00:22 |         0.11 |              |       0.0057 |              |          0.0100 |
|       2 |         800 |       00:00:23 |         0.10 |              |       0.0046 |              |          0.0100 |
|       2 |         848 |       00:00:24 |         0.10 |         0.06 |       0.0052 |       0.0020 |          0.0100 |
|       2 |         850 |       00:00:24 |         0.12 |              |       0.0071 |              |          0.0100 |
|       3 |         900 |       00:00:26 |         0.10 |              |       0.0047 |              |          0.0100 |
|       3 |         950 |       00:00:27 |         0.09 |              |       0.0042 |              |          0.0100 |
|       3 |         954 |       00:00:27 |         0.10 |         0.08 |       0.0049 |       0.0034 |          0.0100 |
|       3 |        1000 |       00:00:28 |         0.09 |              |       0.0041 |              |          0.0100 |
|       3 |        1050 |       00:00:30 |         0.09 |              |       0.0042 |              |          0.0100 |
|       3 |        1060 |       00:00:30 |         0.11 |         0.06 |       0.0061 |       0.0017 |          0.0100 |
|       3 |        1100 |       00:00:31 |         0.10 |              |       0.0050 |              |          0.0100 |
